,specaugment0,specaugment1,specaugment2,specaugment3,specaugment4,specaugment5,specaugment6,specaugment7,specaugment8,specaugment9,specaugment10,specaugment11,specaugment12
38,-730.1724,124.90806,-3.2758992,-4.7218275,3.7801204,3.0669405,-10.631954,-10.042985,-1.5092888,-5.6591964,-5.976821,0.22679013,-1.3100142
39,-658.3889,133.7283,-7.5751944,2.5247514,3.8452935,5.9315624,-9.735284,-11.419069,-0.9468827,-6.2057014,-3.5881782,-3.6040695,1.2272803
40,-691.8546,132.80309,-6.0555024,-2.649061,-1.9182166,2.5327277,-7.1778464,-8.929184,-1.5206095,-6.9851956,-2.4938653,-1.3630052,2.1948001
41,-757.6157,114.740685,5.7374535,-4.7756295,3.7198286,2.4553006,-8.003143,-6.981792,-2.5716348,-5.2729573,-4.596189,-1.1947773,-2.6076074
42,-697.82153,97.88691,2.7623823,6.635572,-3.4407592,1.2165484,-2.2887394,-5.815458,-2.927138,-6.2119336,-1.7332869,-5.0299015,-2.21588
43,-735.57306,120.50315,-2.258311,-3.9062886,1.4453982,-1.5616997,-8.413809,-8.476862,-6.472307,-5.9236474,-5.9372096,-3.9900284,-2.5570621
44,-772.16016,110.79627,10.456651,-7.321149,2.0158877,-0.8171458,-9.448451,-7.382014,-4.028885,-5.1198535,-4.0718665,-2.8900445,-4.337435
45,-754.89886,120.479645,5.652993,-8.472653,3.3918447,2.855709,-5.908304,-7.5102196,-3.2031384,-4.1729703,-5.4856396,-4.1645727,-4.686028
46,-697.7233,125.05536,-9.276571,4.1623683,1.1642674,2.1597803,-6.6268463,-8.598618,-0.68105537,-5.9594455,-2.264521,-1.898623,0.7255881
47,-743.9221,111.2117,-4.8857393,1.3603855,4.580668,1.9065025,-3.68299,-3.924962,0.17887096,-2.3837373,-2.5938962,-0.90249413,-2.2952545
48,-735.85956,123.02651,-0.27493498,-2.5748253,0.6003811,-3.0982265,-9.702516,-6.6738515,-2.1112723,-6.009277,-4.9261985,-2.5553422,-3.585425
49,-724.0479,110.2607,-3.3681636,4.308079,-3.2498338,0.3037275,-7.4973116,-9.129192,-0.42151648,-5.8901014,-3.5940974,-3.6657062,-4.8460326
50,-658.8883,115.557625,2.548198,9.900552,1.2048241,0.09643398,-6.5910726,-10.069929,-0.3151548,-5.6898932,-2.5426886,-3.1167676,-2.162619
51,-661.24835,121.738304,-5.3946757,-1.4409338,-5.869009,2.2969975,-5.0291686,-10.858851,-1.0989692,-3.3470302,-2.569289,-3.1889498,-0.2735149
52,-735.02515,129.09776,4.3802066,-9.671546,-8.130035,-4.1444435,-10.533901,-9.835449,-1.1322316,-5.4643044,-7.510305,-2.6500556,-2.025541
53,-718.89325,134.5577,3.6110072,-4.186439,-4.009768,-0.66182137,-12.480445,-12.565279,-5.255023,-10.877236,-8.777329,-2.6261153,-1.8219949
54,-688.0037,140.40889,-8.42359,1.2973338,0.37954584,-1.2497492,-16.471212,-14.781331,-0.84099925,-13.794306,-10.628783,-3.682565,-2.6939032
55,-653.1504,135.67061,-17.054365,-9.38898,-4.725891,-2.844673,-14.931891,-11.45206,-2.7535577,-1.992126,-5.7584167,-6.9461107,-5.724302
56,-754.41565,120.34917,4.472086,-8.647909,4.079456,1.0395843,-8.583857,-5.426263,-0.7255306,-4.0971265,-3.9310095,-4.6405716,-4.783101
57,-576.89355,135.7008,-21.100191,1.770428,-6.8838344,3.1584601,-11.928188,-6.272404,-7.8819404,-6.9041643,-5.243161,-6.1908226,-7.136027
58,-607.8739,143.8532,-20.974483,1.591423,-6.8531275,3.9324918,-14.915216,-8.054534,-7.733062,-10.516062,-7.910065,-5.5149546,-6.2680583
59,-573.92206,142.54243,-24.93548,3.0832202,-1.668904,5.0945473,-13.926407,-8.263598,-7.3087287,-7.143906,-6.882063,-6.783631,-8.921893
60,-650.6901,141.54196,-12.394227,1.0282559,-7.291109,1.7732615,-12.419398,-7.920412,-6.9381814,-6.8183675,-4.190993,-5.6736975,-6.801224
61,-612.3797,146.686,-15.652094,1.0358453,-4.0802307,5.1941533,-15.730588,-11.78134,-7.3911376,-6.722261,-5.945661,-4.9839616,-6.7566714
62,-621.27954,138.39319,-22.032803,2.0906267,-1.7347058,4.7213817,-13.063484,-9.707533,-9.407852,-8.945239,-7.715743,-5.377677,-4.932092
63,-565.81006,138.9704,-13.608401,2.7668538,-3.120761,6.6765285,-12.086285,-7.0757556,-9.097306,-9.694109,-6.8618126,-4.9854383,-5.412482
64,-603.60254,137.2878,-18.6697,5.3349214,-1.9609112,5.5975285,-11.955554,-7.239607,-7.769549,-7.7938223,-6.8805337,-5.2884007,-4.6316957
65,-759.6935,115.86968,3.7026875,-7.96357,4.7964425,1.3024204,-8.247693,-8.614386,-7.1338654,-9.066121,-6.802359,-5.1342907,-4.467755
66,-630.1258,140.707,-17.147333,0.87980795,-7.314628,1.3115842,-15.462126,-7.431824,-6.7096505,-9.256841,-8.412189,-6.541322,-4.6099563
67,-613.4673,144.00911,-31.824253,-0.21358001,-6.325779,0.26902953,-12.470255,-7.9359655,-7.6791806,-6.8363175,-7.3800015,-9.275795,-7.3492737
68,-630.0529,137.83415,-16.594593,3.6132956,-7.799733,5.2823067,-15.993576,-9.575476,-7.024895,-8.701062,-8.01881,-8.935675,-7.066411
69,-697.3662,130.61397,-9.043135,2.6950939,-1.8543339,2.9731333,-9.179512,-9.659059,-8.58191,-11.547329,-5.730094,-6.047332,-3.437102
